5BHYFL0,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,48,11/29/2012
5BJPMT1,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,48,11/27/2012
5BJPNK8,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,48,11/26/2012
5BMFVM5,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,48,02/14/2012
5E54369,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1,48,11/29/2012
6636522,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1,48,11/29/2012
6899817,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1,48,11/29/2012
A002177,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,05/09/2016
A005173,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,10/11/2016
A006475,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,11/11/2016
A009775,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,01/21/2016
A014989,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A015289,0.7500,0.7500,0.7500,0.7500,0.0000,0.0000,0.7500,0.3500,0.0000,1,48,06/24/2016
A016995,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/04/2015
A017690,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,11/11/2016
A019229,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A020201,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,05/25/2016
A020788,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,10/04/2016
A021143,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A021892,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A022643,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A023721,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A023915,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A024314,0.6000,0.6000,0.6000,0.6000,0.0000,0.0000,0.6000,0.3000,0.0000,1,48,01/29/2016
A025036,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,04/30/2016
A025171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.1500,0.0000,1,48,12/15/2016
A025247,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,04/06/2016
A026466,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A027182,0.6000,0.6000,0.6000,0.6000,0.0000,0.0000,0.6000,0.3000,0.0000,1,48,01/29/2016
A027813,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,10/07/2016
A028277,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A029136,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A029522,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,01/21/2016
A030353,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,01/21/2016
A030691,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A031005,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,04/06/2016
A031997,0.4500,0.4500,0.5000,0.5000,0.0000,0.0000,0.4500,0.2000,0.0000,1,48,07/06/2016
A032792,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,06/07/2016
A032831,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,06/07/2016
A033447,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,01/21/2016
A033970,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,10/06/2016
A034097,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,01/21/2016
A034591,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.5000,0.2000,0.0000,1,48,01/22/2016
A034819,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A035001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.1500,0.0000,1,48,12/15/2016
A035483,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,10/10/2016
A036291,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,01/21/2016
A036373,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A036938,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A039123,0.4500,0.4500,0.5000,0.5000,0.0000,0.0000,0.4500,0.2000,0.0000,1,48,07/06/2016
A039991,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A040027,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,01/21/2016
A109151,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.4000,0.0000,1,48,09/02/2015
A276329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.1500,0.0000,1,48,12/15/2016
